KONDISI PEAK HOUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waktu Sesi;Hari Kerja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jl. Ramin;;;;Jl. Meranti;;;;Jl. Kamper;;;;Jl. Ulin;;;;Jl. Pinus;;;;Jl. Tj;;;;Jl. Agatis 1;;;;Jl. Agatis 2;;;
;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total
Pagi;3457;384;5;3846;2542;329;29;2900;1072;104;3;1179;730;87;0;817;338;46;0;384;1347;153;26;1526;1942;183;24;2149;2141;184;38;2363
Interval 1;1957;230;11;2198;1861;196;10;2067;961;84;8;1053;499;62;1;562;346;78;0;424;716;54;9;779;736;107;12;855;932;106;14;1052
Siang;2031;234;10;2275;1774;221;11;2006;897;101;3;1001;808;143;1;952;1220;147;0;1367;1087;123;17;1227;456;93;11;560;1173;157;12;1342
Interval 2;441;189;3;633;1213;195;7;1415;512;98;1;611;828;126;0;954;1137;174;4;1315;676;112;7;795;252;94;5;351;299;84;6;389
Sore;1107;227;11;1345;1696;264;21;1981;684;100;6;790;531;95;3;629;999;166;5;1170;760;91;21;872;745;132;11;888;476;66;5;547
Ult. Peak;3457;384;11;3846;2542;329;29;2900;1072;104;8;1179;828;143;3;954;1220;174;5;1367;1347;153;26;1526;1942;183;24;2149;2141;184;38;2363
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waktu Sesi;Hari Libur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jl. Ramin;;;;Jl. Meranti;;;;Jl. Kamper;;;;Jl. Ulin;;;;Jl. Pinus;;;;Jl. Tj;;;;Jl. Agatis 1;;;;Jl. Agatis 2;;;
;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total
Pagi;2154;303;7;2464;714;128;1;843;498;68;1;567;299;32;1;332;0;0;0;0;341;34;1;376;1325;120;0;1445;1103;60;0;1163
Interval 1;1281;270;0;1551;842;128;2;972;454;74;9;537;257;37;0;294;0;0;0;0;323;55;3;381;211;46;0;257;239;51;3;293
Siang;954;176;0;1130;867;126;2;995;484;70;1;555;540;106;4;650;0;0;0;0;369;49;1;419;382;83;0;465;296;63;0;359
Interval 2;564;122;0;686;605;82;3;690;336;55;1;392;239;28;1;268;0;0;0;0;220;45;3;268;237;50;0;287;199;63;1;263
Sore;956;142;0;1098;821;110;1;932;352;35;0;387;237;29;1;267;0;0;0;0;199;17;0;216;305;30;0;335;182;19;0;201
Ult. Peak;2154;303;7;2464;867;128;3;995;498;74;9;567;540;106;4;650;0;0;0;0;369;55;3;419;1325;120;0;1445;1103;63;3;1163
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KONDISI RATA-RATA HARIAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waktu Sesi;Jl. Ramin;;;;Jl. Meranti;;;;Jl. Kamper;;;;Jl. Ulin;;;;Jl. Pinus;;;;Jl. Tj;;;;Jl. Agatis 1;;;;Jl. Agatis 2;;;
;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total;Motor;Mobil;Bus;Total
Rabu;1720;236;7;1963;1735;223;14;1972;731;81;3;815;578;87;1;665;731;103;2;836;817;85;15;917;835;112;11;957;979;111;14;1103
Sabtu;1229;194;2;1424;721;103;1;825;381;45;1;428;324;49;1;373;0;0;0;0;271;33;1;304;546;67;0;613;442;40;0;483
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nama
Jalan";Panjang Jalan (km);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Ramin;0,3799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Meranti;0,8093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Kamper;0,7281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Ulin;0,5651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Pinus;0,4729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Tj;0,4670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Agatis 1;0,4866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jl. Agatis 2;0,9639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
